,title,artist,rank,date,weeks
422,"Far, Far Away",Don Gibson,86,1960-08-01,1
423,Swingin' Down The Lane,Jerry Wallace,89,1960-08-01,1
424,If I Can't Have You,Etta & Harvey,92,1960-08-01,1
425,It Only Happened Yesterday,Jack Scott,95,1960-08-01,1
426,We Go Together,Jan & Dean,96,1960-08-01,1
427,Theme From Adventures In Paradise,Jerry Byrd,97,1960-08-01,1
428,"The Wreck Of The ""John B""",Jimmie Rodgers,98,1960-08-01,1
429,Devil Or Angel,Bobby Vee,99,1960-08-01,1
430,Kiddio,Brook Benton,59,1960-08-08,1
431,Never On Sunday,Don Costa And His Orchestra And Chorus,75,1960-08-08,1
432,Yogi,The Ivy Three,80,1960-08-08,1
433,Anymore,Teresa Brewer,81,1960-08-08,1
434,Little Bitty Pretty One,Frankie Lymon,84,1960-08-08,1
435,You Mean Everything To Me,Neil Sedaka,87,1960-08-08,1
436,The Brigade Of Broken Hearts,Paul Evans,90,1960-08-08,1
